test;width;optimization;periodMin ns;Total LUTs;Logic LUTs;LUTRAMs;SRLs;FFs;RAMB36;RAMB18
T0;256;optimized;1.49;1293;1293;0;0;1294;0;0;0
T6;256;optimized;1.51;3714;3714;0;0;1519;0;0;0
T3;256;optimized;1.51;3452;3452;0;0;1507;0;0;0
T5;256;optimized;1.48;4195;4195;0;0;1572;0;0;0
T1;256;optimized;1.46;1557;1557;0;0;1373;0;0;0
T2;256;optimized;1.51;1514;1514;0;0;1378;0;0;0
T4;256;optimized;1.47;4077;4077;0;0;1568;0;0;0
T0;256;not_optimized;1.46;1613;1613;0;0;1353;0;0;0
T6;256;not_optimized;1.5;6154;6154;0;0;1597;0;0;0
T3;256;not_optimized;1.5;5526;5526;0;0;1586;0;0;0
T5;256;not_optimized;1.5;6154;6154;0;0;1597;0;0;0
T1;256;not_optimized;1.51;2633;2633;0;0;1493;0;0;0
T2;256;not_optimized;1.51;3907;3907;0;0;1575;0;0;0
T4;256;not_optimized;1.5;6154;6154;0;0;1597;0;0;0
T0;64;optimized;1.35;474;474;0;0;374;0;0;0
T6;64;optimized;1.49;1116;1116;0;0;373;0;0;0
T3;64;optimized;1.5;1053;1053;0;0;375;0;0;0
T5;64;optimized;1.34;1124;1124;0;0;374;0;0;0
T1;64;optimized;1.35;614;614;0;0;397;0;0;0
T2;64;optimized;1.35;718;718;0;0;402;0;0;0
T4;64;optimized;1.43;1241;1241;0;0;372;0;0;0
T0;64;not_optimized;1.43;836;836;0;0;441;0;0;0
T6;64;not_optimized;1.53;2355;2355;0;0;399;0;0;0
T3;64;not_optimized;1.44;2316;2316;0;0;399;0;0;0
T5;64;not_optimized;1.53;2355;2355;0;0;399;0;0;0
T1;64;not_optimized;1.35;1464;1464;0;0;393;0;0;0
T2;64;not_optimized;1.47;1681;1681;0;0;393;0;0;0
T4;64;not_optimized;1.53;2355;2355;0;0;399;0;0;0
T0;512;optimized;1.6;4824;4824;0;0;2525;0;0;0
T6;512;optimized;1.6;7911;7911;0;0;2981;0;0;0
T3;512;optimized;1.64;9400;9400;0;0;3130;0;0;0
T5;512;optimized;1.6;8626;8626;0;0;3064;0;0;0
T1;512;optimized;1.59;5489;5489;0;0;2690;0;0;0
T2;512;optimized;1.6;5552;5552;0;0;2693;0;0;0
T4;512;optimized;1.58;9811;9811;0;0;3178;0;0;0
T0;512;not_optimized;1.6;5992;5992;0;0;2635;0;0;0
T6;512;not_optimized;1.58;12165;12165;0;0;3260;0;0;0
T3;512;not_optimized;1.58;12415;12415;0;0;3302;0;0;0
T5;512;not_optimized;1.58;12165;12165;0;0;3260;0;0;0
T1;512;not_optimized;1.6;6732;6732;0;0;2908;0;0;0
T2;512;not_optimized;1.53;8395;8395;0;0;3114;0;0;0
T4;512;not_optimized;1.58;12165;12165;0;0;3260;0;0;0
